first_appeared_in_issue,name,origin,publisher
The Legion of Super-Heroes,Lightning Lad,Alien,DC Comics
The Menace of Dream Girl!,Dream Girl,Alien,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Brainiac 5,Alien,DC Comics
Hercules in the 20th Century!,Invisible Kid,Human,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Phantom Girl,Alien,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Sun Boy,Radiation,DC Comics
Lana Lang and the Legion of Super-Heroes!,Thom Kallor,Alien,DC Comics
Escape of the Fatal Five!; Mocked By The Master!,Shadow Lass,Alien,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Duplicate Girl,Alien,DC Comics
The Confession of Superboy!,Element Lad,Alien,DC Comics
The Legion of Super-Heroes,Cosmic Boy,Alien,DC Comics
Last Fight For A Legionnaire,Micro Lad,Alien,DC Comics
The Boy With Ultra-Powers!,Ultra Boy,Alien,DC Comics
Tomorrow's Heroes Today!,Lemnos,Mutant,DC Comics
One of Us is a Traitor!,Karate Kid,Human,DC Comics
Hercules in the 20th Century!,Colossal Boy,Radiation,DC Comics
The Legion of Super-Heroes,Saturn Girl,Alien,DC Comics
,Elysion,Human,DC Comics
,Bodger,Human,DC Comics
,Bonce,Human,DC Comics
,Barney,Animal,Disney
,Zepha,Alien,DC Comics
TNTNT,Tyrannosaurus,Mutant,Malibu
TNTNT,Neuronne,Mutant,Malibu
The Subject Is... Taboo!,Taboo,Mutant,Malibu
Countdown To Ultraverse,Yrial,Human,Malibu
,Zip Zap,Human,Malibu
Countdown To Ultraverse,Grenade,Mutant,Malibu
Countdown To Ultraverse,Spectral,Human,Malibu
Countdown To Ultraverse,Lady Killer,Mutant,Malibu
TNTNT,Naiad,Mutant,Malibu
TNTNT,Tugun,Human,Malibu
Jumpstart!,J.D. Hunt,Human,Malibu
Mangled!,Guy Hunt,Human,Malibu
The Subject Is... Taboo!,Dr. Horla,Human,Malibu
Chalk ,Teknight,Robot,Malibu
Countdown To Ultraverse,Electrocute,Robot,Malibu
Hey! Hugh! Get Off'a McCloud!,Waddell,Human,Malibu
The Name Of The Game Is Fear!,Beater,Mutant,Malibu
The Name Of The Game Is Fear!,M.C. Zed,Mutant,Malibu
kirby,Rafferty,Human,Malibu
Volume 3,Jigglypuff,Animal,Nintendo
Countdown To Ultraverse,Atom Bob,Mutant,Malibu
Homeboy!,Byter,Mutant,Malibu
Homeboy!,Gangsta,Human,Malibu
Homeboy!,Brazen,Mutant,Malibu
Party Time!,Generator X,Mutant,Malibu
Party Time!,Lightshow,Mutant,Malibu
Gay Decievers,The Face,Human,AC Comics
Women Warriors Of The Moon,Auro,Human,Fiction House
Space Islands Of Destruction,Gale Allen,Human,Fiction House
Death Rays from the Sun,Futura,Human,AC Comics
The Green Legions Of  Xalan,Hunt Bowman,Human,Fiction House
The Green Legions Of  Xalan,Lyssa,Human,Fiction House
,Captain Science,Human,Youthful
,Mysta of the Moon,Human,Fiction House
,Bron,Robot,Fiction House
Scoop Comics,Rocketman,Human,Harry A. Chesler/Dynamic
The Voice,Commando Yank,Human,Fawcett Publications
,Minute Man,Human,DC Comics
,Mickey Matthews,Human,Holyoke
,Black X,Human,Quality Comics
,Dan Richards,Human,DC Comics
,Shanghai Lil,Human,AC Comics
Topolino e le rane saltatrici,Zenobia,Animal,Disney
Here Comes Bulletman,Bulletgirl,Human,DC Comics
,Nightveil,Human,AC Comics
One Slip,Queen Reina,Human,AC Comics
,Proxima,Alien,AC Comics
Up From The Ashes Rises...Death!,Garganta,Human,AC Comics
Captain Fearless,Ms. Victory,Human,Holyoke
,Dragonfly,Human,AC Comics
Tim Holt,Red Mask,Human,Magazine Enterprises
The Durango Kid,Durango Kid,Human,Magazine Enterprises
,Ghita of Alizarr,Human,Eros Comix
G Force to the Rescue!,Jason,Human,Tatsunoko Production
G Force to the Rescue!,Keyop,Human,Tatsunoko Production
G Force to the Rescue!,Mark,Human,Tatsunoko Production
G Force to the Rescue!,Princess,Human,Tatsunoko Production
G Force to the Rescue!,Tiny,Human,Tatsunoko Production
,Director Anderson,Human,Tatsunoko Production
G Force to the Rescue!,Zoltar,Alien,Tatsunoko Production
,Nyoka,Human,Fawcett Publications
,Betty Lou,Animal,Disney
Sinbad and the Eyes of Fire: Part One,Natsuki,Human,Zenescope Entertainment
,William Sherman,Human,Non-Fictional
Benjamin Franklin,Louis XVI,Human,Non-Fictional
,The Man In The Iron Mask,Human,In the Public Domain
,Dragon,Other,Comics Interview
-,Shiki,Human,SNK Playmore
,Serpent,Other,Comics Interview
Magic,Paracelsus,Human,Non-Fictional
,Soliloquy Jones,Human,Heroic Publishing
This'll be the Day / Loose Ends,American Pi,Human,Top Cow
This'll be the Day / Loose Ends,Zhang,Human,Top Cow
This'll be the Day / Loose Ends,Stevie Parsons,Human,Top Cow
Roles / Elsewhere,Digital Man,Human,Top Cow
Roles / Elsewhere,Analog Kid,Human,Top Cow
Sanctuary / Heir of Truth,Volkswagner,Human,Top Cow
Sanctuary / Heir of Truth,Acidic Jew,Human,Top Cow
,Knockout,Human,Skybound
Time of Their Lives / Fat Chance / Glory Days,Red Fox,Human,Top Cow
Where Monsters Dine! / Lovelife,Wang Dang Doodle,Animal,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Eternal Flame,Human,Top Cow
Sanctuary / Heir of Truth,Charm,Human,Top Cow
Sanctuary / Heir of Truth,Deb-U-Ton,Human,Top Cow
Sanctuary / Heir of Truth,Strangeness,Human,Top Cow
Beyond the Speed of Life / Head Games,Speeding Bullet,Human,Top Cow
Beyond the Speed of Life / Head Games,Mental Midget,Human,Top Cow
Where Monsters Dine! / Lovelife,Grondar,Alien,Top Cow
Where Monsters Dine! / Lovelife,Crittorr,Animal,Top Cow
Where Monsters Dine! / Lovelife,Kkrapp,Other,Top Cow
Where Monsters Dine! / Lovelife,Larry,Human,Top Cow
Where Monsters Dine! / Lovelife,Oola,Human,Top Cow
Where Monsters Dine! / Lovelife,Patriette,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Blackwatch,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Commander Power,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Hi-Tec,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Coldspell,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Miniaturian,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Belle-Aire,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Flaming Follicle,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Mach Master,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Magna-Woman,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Captain Gallant,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,KittyCat,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Big Money,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Bloodstain,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Die-Cut,Human,Top Cow
Prog 982,Demi Octavo,Human,Rebellion
"I, Monster",Lucas Jackson,Mutant,Marvel
Roles / Elsewhere,Jenny Saunders,Human,Top Cow
,Ryo Sakazaki,Human,SNK Playmore
,John Dante,Human,Top Cow
Beyond the Speed of Life / Head Games,Ed Franklin,Human,Top Cow
Beyond the Speed of Life / Head Games,Man-Witch,Human,Top Cow
,Airboy,Human,Hillman
,Billy,Animal,Disney
,Bravestarr,Human,Blackthorne
And the Wind Howls... Wendigo!,Wolverine,Mutant,Marvel
X-Men,Magneto,Mutant,Marvel
Meet Captain America,Captain America,Human,Marvel
,Spider-Man,Human,Marvel
Deadly Genesis,Storm,Mutant,Marvel
The Origin of Professor X,Juggernaut,Human,Marvel
By Friends Betrayed,Rogue,Mutant,Marvel
,Layla Miller,Mutant,Marvel
The She-Hulk Lives,She-Hulk,Radiation,Marvel
Out of Hell - A Hero!,Luke Cage,Human,Marvel
The Coming of the Falcon,Falcon,Human,Marvel
Dark Destiny,Spider-Woman,Human,Marvel
Act 1: The Suit,Sentry,Radiation,Marvel
Iron Man is Born!,Iron Man,Human,Marvel
,Doctor Strange,Human,Marvel
God Spare The Child...,Emma Frost,Mutant,Marvel
X-Men,Cyclops,Mutant,Marvel
Surhomme en pÃ©ri,Colossus,Mutant,Marvel
Deadly Genesis,Nightcrawler,Mutant,Marvel
X-Men,Beast,Mutant,Marvel
The New Mutants: Renewal,Moonstar,Mutant,Marvel
X-Men,Iceman,Mutant,Marvel
The Coming of the Wonder Man,Wonder Man,Radiation,Marvel
The Brotherhood of Evil Mutants,Scarlet Witch,Mutant,Marvel
The Brotherhood of Evil Mutants,Quicksilver,Mutant,Marvel
Prisoners of Doctor Doom!,Doctor Doom,Human,Marvel
The Deep Deadly Silence!,Mystique,Mutant,Marvel
The Brotherhood of Evil Mutants,Toad,Mutant,Marvel
The Coming of Captain Marvel,Captain Marvel,Alien,Marvel
Who Dares Defy The Demi-Men?,Polaris,Mutant,Marvel
Cloak and Dagger!,Cloak,Human,Marvel
"Hawkeye, The Marksman",Hawkeye,Human,Marvel
Here is the Sub-Mariner!,Namor,Mutant,Marvel
Introducing the Sensational Black Panther,Black Panther,Human,Marvel
Wanted: Wolverine! Dead Or Alive!,Sasquatch,Radiation,Marvel
Never Let the Black Cat Cross Your Path!,Black Cat,Human,Marvel
If This Be My Destiny,Gwen Stacy,Human,Marvel
Spider-Man No More!,Kingpin,Human,Marvel
Spider-Man Versus Doctor Octopus,Doctor Octopus,Human,Marvel
Homecoming!,Venom,Alien,Marvel
Spider-Man; Spider-Man Vs. The Chameleon,J. Jonah Jameson,Human,Marvel
Face-To-Face With The Lizard,Lizard,Human,Marvel
,Flash Thompson,Human,Marvel
Death Toy!,Carnage,Alien,Marvel
Have Yourself a Sandman Little Christmas!,Misty Knight,Human,Marvel
The Fury of Iron Fist!,Iron Fist,Human,Marvel
The Stalker called Moon Knight,Moon Knight,Human,Marvel
Death-Cult,Colleen Wing,Human,Marvel
The New Mutants: Renewal,Cannonball,Mutant,Marvel
The Dramatic Debut of the Dazzler!,Dazzler,Mutant,Marvel
Gambit â€“ Out of the Frying Pan,Gambit,Mutant,Marvel
Stings & Sorrows!,Yellowjacket (DeMara),Human,Marvel
The Creature From Kosmos!!,Wasp,Human,Marvel
Payback,Bishop,Mutant,Marvel
Behold...The Vision,Vision,Robot,Marvel
X-Men,Professor X,Mutant,Marvel
,Rocky Lane,Human,Non-Fictional
"Charley Fish: ""Golf""",Slim Pickins,Human,Non-Fictional
,The Saint,Human,Avon
,Lucky Dale,Human,Avon
Lifestyles of the Dead,Kid Quantum,Alien,DC Comics
The Punisher Strikes Twice,Punisher,Human,Marvel
The Rev,Microchip,Human,Marvel
Loose Ends,Recoil,Human,Marvel
Danger is a Man Called Tarantula!,Tarantula,Human,Marvel
The Fury of the Freak / 30 Minutes to Live,Batroc,Human,Marvel
Eurohit #2: French Connections,Rapido,Cyborg,Marvel
Eurohit #1: Arrivals,Snakebite,Human,Marvel
Eurohit #2: French Connections,Chauffard,Human,Marvel
Ground Zero,Typhoid Mary,Mutant,Marvel
Let The Punisher Fit The Crime!,Jigsaw,Human,Marvel
The Musketeers!,Ivar Anni-Padda,God/Eternal,Valiant
Untitled; Momma Knows Best!; The Hole Truth!; Untitled,Wacky Squirrel,Robot,Dark Horse Comics
,Mezzrow,Alien,First
Featuring ElfQuest,Skywise,Other,Warp Graphics
WOLFSONG,Bearclaw,Other,Warp Graphics
Quest's End part Two,Mender,Alien,Warp Graphics
Raid At Sorrows End,Rayek,Alien,Warp Graphics
Featuring ElfQuest,Treestump,Other,Warp Graphics
Turning Tide,Kroosh,Other,Warp Graphics
Turning Tide,Puffer,Other,Warp Graphics
,Wavecatcher,Other,Warp Graphics
,Wavelet,Other,Warp Graphics
Turning Tide,Darshek,Other,Warp Graphics
,X(A/N)th,God/Eternal,Warp Graphics
Featuring ElfQuest,Scouter,Other,Warp Graphics
WolfWood,Tyleet,Other,Warp Graphics
Featuring ElfQuest,Pike,Other,Warp Graphics
Part 5,Krim,Other,Warp Graphics
Featuring ElfQuest,Nightfall,Alien,Warp Graphics
Featuring ElfQuest,Dewshine,Other,Warp Graphics
,Pool,Other,Warp Graphics
,Sust,Other,Warp Graphics
,Millicent,Animal,Disney
Turning Tide,Spine,Other,Warp Graphics
Turning Tide,Longfin,Other,Warp Graphics
Turning Tide,Krill,Other,Warp Graphics
Turning Tide,Brill,Other,Warp Graphics
,Lehrigen,Human,Warp Graphics
,Angrif,Human,Warp Graphics
Turning Tide,Redcrest,Other,Warp Graphics
"STARFALL, STARRISE",Shale,Other,Warp Graphics
Turning Tide,No-Ripple,Other,Warp Graphics
,Jethel,Other,Warp Graphics
GOING BACK,Chot,Alien,Warp Graphics
NOW YOU SEE HER...,Jink,Alien,Warp Graphics
SHARDS PART THREE,Grohmul Djun,Human,Warp Graphics
,Gifa,Human,Warp Graphics
,Nerea,Human,Ediciones La CÃºpula S.L.
,Cam Triompe,Human,Warp Graphics
The Challenge,Shenshen,Alien,Warp Graphics
THE FIRST WAR,Skot,Alien,Warp Graphics
BLOOD'S END PART ONE,Ahnn-Li,Other,Warp Graphics
Project: Secret Weapons,Mach,Human,Valiant
Hard Boiled,Livewire,Mutant,Valiant
The Man Who Killed The World / Alpha And Omega Part 10,Eternal Warrior,God/Eternal,Valiant
Solar,Ninjak,Human,Acclaim
Death Becomes Her,Doctor Destrowitz,Human,Vertigo
Vampirella of Drakulon,Vampirella,Alien,Dynamite Entertainment
Out of Time,Bart Allen,Human,DC Comics
,Bedlam,Human,DC Comics
,Secret,Human,DC Comics
Aftermath,Empress,Human,DC Comics
Arrowette vs. The Spazz,Arrowette,Human,DC Comics
,Kon-El,Other,DC Comics
The Stormy Return Of The Red Tornado!,Red Tornado,Robot,DC Comics
The Man Who Hated Science,Black Canary,Human,DC Comics
,Huntress (Bertinelli),Human,DC Comics
"Introducing Robin, The Boy Wonder",Dick Grayson,Human,DC Comics
Enter: The Huntress,Symitar,Human,DC Comics
Batgirl: Day One,Harley Quinn,Human,DC Comics
"Beware of Poison Ivy!, The Perfect Crime - Slightly Imperfect!",Poison Ivy,Other,DC Comics
The Legend of the Batman: Who He Is and How He Came To Be; The Joker,Catwoman,Human,DC Comics
The Case of the Chemical Syndicate,Batman,Human,DC Comics
The Legend of the Batman: Who He Is and How He Came To Be; The Joker,Joker,Other,DC Comics
,Hermione Lodge,Human,Archie Comics
,Goliath I,Animal,Disney
Prog 437,Henry Moon,Animal,Rebellion
Strange Love,Aunt Zelda Spellman,Human,Archie Comics
,Sabrina Spellman,Human,Archie Comics
,Salem,Animal,Archie Comics
,Smithers,Human,Archie Comics
,Jughead Jones,Human,Archie Comics
,Dilton Doiley,Human,Archie Comics
,Chuck Clayton,Human,Archie Comics
,Ms. Grundy,Human,Archie Comics
,Professor Flutesnoot,Human,Archie Comics
,Coach Kleats,Human,Archie Comics
,Coach Clayton,Human,Archie Comics
,Miss Beazley,Human,Archie Comics
Prog 535,Maximan,Human,Rebellion
,Aunt Hilda Spellman,Human,Archie Comics
Prog 437,Amok,Alien,Rebellion
Who is Stephen Strange?,Baroshtok,Other,Marvel
Act 1 (of 3),Miles,Human,Chaos! Comics
Crossfire!,Domini,Human,Marvel
Who Stalks the Vampire?,Taj Nital,Human,Marvel
Strange Tales,Bloodstorm,Other,Marvel
Volume One,Abra,Animal,Nintendo
Tralla La,Lah Deedah,Animal,Disney
Book 1,Marlene Drake,Human,Marvel
,Captain Jack,Animal,Fantagraphics
,Kelly Poole,Human,Quality Comics
"Wild Blue Yonder, Part 1",Ethan Edwards,Alien,Marvel
"The Stronger I Am, the Sooner I Die!",Absorbing Man,Human,Marvel
,Aunt May,Human,Marvel
The Black Knight; Captain America,Jarvis,Human,Marvel
In The Clutches Of...The Kingpin!,Robbie Robertson,Human,Marvel
"""The Big Fall""",Booster Gold,Human,DC Comics
Prog 11,Sam Mason,Human,Rebellion
Shop ...or Die,L-Ron,Robot,DC Comics
The Mirror-Master's Magic Bullet!; The Elongated Man's Undersea Trap!,Sue Dibny,Human,DC Comics
Earth's Other Green Lantern!,Guy Gardner,Human,DC Comics
,Editor Girl,Human,Shadowline
The First Blow,Daisuke Sasaki,Human,Marvel
The First Blow,Kagenobu Yoshioka,Human,Marvel
The First Impression,Eliza Martinez,Human,Marvel
The First Blow,Kikuchi,Human,Marvel
Elektra,Elektra,Human,Marvel
The First Step,Saburo Ishiyama,Human,Marvel
The Mystery of the Darby Pearls,Superman,Alien,DC Comics
"Superman, Champion of the Oppressed...",Lois Lane,Human,DC Comics
World's Greatest Adventure-Strip Character,Perry White,Human,DC Comics
"Very Truly Yours, Clark Kent (Superman)",Sgt Casey,Human,DC Comics
The Case of the Crimeless Crimes,Prankster,Human,DC Comics
The Terrible Toyman,Toyman (Schott),Human,DC Comics
Cinderella - a la Superman!; Fiddler's Fee!; Sky Knights of Malta; Missive for Mussolini; The Phantom Warriors!; Crime Takes a Detour,Susie Tompkins,Human,DC Comics
The Torture of William Leather,Dead Ranger,Human,Wildstorm
Burning the Candle at Both Ends,Elijah Snow,Human,DC Comics
It's A Strange World,William Leather,Human,Wildstorm
It's A Strange World,Randall Dowling,Human,Wildstorm
,Thick Head,Human,D.C. Thomson & Co.
,Dixon Of The Mounted,Human,Bell Features
,The Brain,Human,Bell Features
,Professor Muerte,Human,Heroic Publishing
,Thunderfist,Human,Bell Features
,Ruth Barton,Human,Bell Features
,Danny Steele,Human,Bell Features
,Beverly Holmes,Human,Bell Features
,Captain Red Thortan,Human,Bell Features
,Lieutenant Harley,Human,Bell Features
,Buffalo Bill,Human,Non-Fictional
,Stephanie Shelley,Human,Crossgen
,Lazarus Bale,Human,Crossgen
Evil Ernie,Lady Death,God/Eternal,Coffin Comics
,Tvarus,Human,Avatar Press
Featuring ElfQuest,Cutter,Other,Warp Graphics
Raid At Sorrows End,Leetah,Other,Warp Graphics
The Challenge,Savah,Alien,Warp Graphics
Dime After Dime,Minima De Spell,Animal,Disney
Raid At Sorrows End,Suntoucher,Alien,Warp Graphics
Featuring ElfQuest,Strongbow,Alien,Warp Graphics
Claws,Nightfall,Human,DC Comics
,Miria,Other,Eros Comix
Featuring ElfQuest,One-Eye,Alien,Warp Graphics
,O'Floodle,Human,Harvey
The Jade Buddha / The Island of Wanatoba / The Door of Death / Saving Senator Barkley / The Insdious Dr. Fu Manchu / Give and Take / The Song of Death / Block Buster / Boat Race of Doom / The Magican,Wing,Human,DC Comics
Featuring ElfQuest,Clearbrook,Other,Warp Graphics
Featuring ElfQuest,Moonshade,Alien,Warp Graphics
Shadows of Troy,Ripley Weaver,Other,Marvel
Return to the Holt,Old Maggoty,Alien,Warp Graphics
Featuring ElfQuest,Greymung,Alien,Warp Graphics
Chapter 2: The Pretender,Trisha,Human,Image
The Answer,Petalwing,God/Eternal,Warp Graphics
The Answer,Olbar,Human,Warp Graphics
LAIR OF THE BIRD SPIRITS,Winnowill,Alien,Warp Graphics
Bridge of Destiny,Rahnee The She-Wolf,Other,Warp Graphics
...But Deliver Us To Evil!,Rickykorbgoll,Alien,Bongo
Bridge of Destiny,Freefoot,Alien,Warp Graphics
Bridge of Destiny,Tanner,Other,Warp Graphics
Bridge of Destiny,Goodtree,Alien,Warp Graphics
Prog 26,Skipper McKay,Human,Rebellion
,Daisy Mae,Human,United Feature Syndicate
Prog 15,The Furry Tyrannosaur,Animal,Rebellion
Rainbow's End,Doctor Eclipse,Radiation,Valiant
Klang,Quantum,Human,Valiant
Klang,Woody,Human,Valiant
Yet Another Story,Vincent Van Goat,Animal,Valiant
Klang,Joe Tomorrow,Human,Acclaim
Klang,Amy Fishbein,Human,Acclaim
"Tick, Tick, Tick",Holly Williams,Human,Acclaim
KYAG,Tempest Sheridan,Human,Acclaim
Klang,David Warrant,Human,Acclaim
Rhodey,Josiah X,Human,Marvel
Out,Angela Del Toro,Human,Marvel
At The Mercy Of My Foes!;  Friends!,War Machine,Human,Marvel
"Enemy of the State, Book 1",Junta,Human,Marvel
Cloak and Dagger!,Dagger,Human,Marvel
Pride And Joy: Chapter 1,Molly Hayes,Mutant,Marvel
"True Believers, Part 1",Victor Mancha,Cyborg,Marvel
Pride And Joy: Chapter 1,Chase Stein,Human,Marvel
Pride And Joy: Chapter 1,Gertrude Yorkes,Human,Marvel
Pride And Joy: Chapter 1,Nico Minoru,Human,Marvel
Pride And Joy: Chapter 1,Karolina Dean,Alien,Marvel
"Star-Crossed, Part 1",Xavin,Alien,Marvel
The Creature Called...Swarm!,Swarm,Radiation,Marvel
,Andy Panda,Animal,Gold Key
,Charlie Chicken,Animal,Gold Key
,Heckle,Animal,Gold Key
,Jeckle,Animal,Gold Key
Detonation Boulevard,Harrison Cochrane,Human,Marvel
,Hashimoto-San,Animal,Gold Key
Prog 500,Danny Franks,Human,Rebellion
,Silly Sidney,Animal,Gold Key
Prog 541,Red Dragon,Human,Rebellion
Prog 535,Ruby Fox,Human,Rebellion
,Josie McCoy,Human,Archie Comics
Decisions Decisions,Valerie Brown,Human,Archie Comics
Sweater Girls,Alexandra Cabot,Human,Archie Comics
How Do You Spell That,Sebastian,Animal,Archie Comics
Burning Chrome,Kylie Gagarin,Human,Marvel
Exclusive MARVELS Preview: The Secret Origin...,Mort the Dead Teenager,Human,Marvel
,Melody Valentine,Human,Archie Comics
A Gym Dandy,Alexander Cabot,Human,Archie Comics
Sweater Girls,Mr. Cabot,Human,Archie Comics
Minstrel Man,Alan M. Mayberry,Human,Archie Comics
,Roz,Human,Archie Comics
,Pac-Man,Other,Namco Bandai
,Uncle Herman Wilkin,Human,Archie Comics
Canine Cupid,Sampson Smythe,Human,Archie Comics
Canine Cupid,Bingo Wilkin,Human,Archie Comics
Canine Cupid,Willie Wilkin,Human,Archie Comics
Prog 550,Rackman,Cyborg,Rebellion
,Greg,Human,Archie Comics
,Charley Hawse,Human,Archie Comics
Il potere del fuoco,Lionel Cook,Human,Disney
,Fangs Fogarty,Human,Archie Comics
,Grimmy,Animal,King Features Syndicate
DoubleDuck (p.1),Agent B-Berry,Animal,Disney
,Pop Tate,Human,Archie Comics
,Hiram Lodge,Human,Archie Comics
,Mr. Weatherbee,Human,Archie Comics
Prog 526,Emerald Eyes,Human,Rebellion
Prog 540,Mandala,Mutant,Rebellion
Prog 437,Bad Jack Keller,Human,Rebellion
Ã„ventyr i datarymden,MCP,Robot,Disney
,Alice Cooper,Human,Archie Comics
,Dr. Jim Murray,Human,Gold Key
In The Beginning...,Hank Hall,Human,DC Comics
Cutting Edge!,Steel,Human,DC Comics
It Could be You,Anthro,Human,DC Comics
,Nighthawk,Human,DC Comics
Draw Death,El Diablo,Human,DC Comics
The Lady Blackhawk,Lady Blackhawk,Human,DC Comics
Sight--of the First and Second Kinds!,Kari Limbo,Human,DC Comics
Road of Terror,Buck Wargo,Human,DC Comics
Road of Terror,Esperanza Chata,Human,DC Comics
Wet Dreams,Veronna,Human,DC Comics
Road of Terror,Joey Hong,Human,DC Comics
Road of Terror,Rita Muldoon,Human,DC Comics
Road of Terror,Dementor,Other,DC Comics
Challenge!,Arisia,Alien,DC Comics
If I Were Batman,Martian Manhunter,Alien,DC Comics
"Justice Society: ""Two New Members Win Their Spurs""",Wonder Woman,Other,DC Comics
The Art of Lou Fine,The Ray,Human,DC Comics
Point of Origin,Captain Atom,Radiation,DC Comics
,Ice,Human,DC Comics
Yesterday's Sins 2 of 4: Dream a Deadly Dream,Gerard Gardner,Cyborg,DC Comics
Finally Falls the Mighty,Ted Kord,Human,DC Comics
Rue Britannia,General Glory (Jones),Human,DC Comics
Regeneration,Boodikka,Cyborg,DC Comics
"House Of Cards, Part 1: The Prodigal Sinner",Fast Jack,Human,Marvel
"House Of Cards, Part 1: The Prodigal Sinner",Cooper,God/Eternal,Marvel
Prog 319,Venus Bluegenes,Other,Rebellion
Falling Star,Oliver Stoker,God/Eternal,Marvel
Out of the Silent Space,Nathan West,Human,Topps Comics
Out of the Silent Space,Shane Vansen,Human,Topps Comics
Out of the Silent Space,Vanessa Damphousse,Human,Topps Comics
Out of the Silent Space,Paul Wang,Human,Topps Comics
Out of the Silent Space,Cooper Hawkes,Human,Topps Comics
Out of the Silent Space,T.C. McQueen,Human,Topps Comics
Games Of Death,Felicia Campbell,Human,Malibu
Budget Cuts,Jake Alexander,Human,Malibu
Genetech Potential,Mathemanic,Human,Marvel
Where No X-Man Has Gone Before,Impulse,Alien,Marvel
Genetech Potential,Coronary,Human,Marvel
Genetech Potential,Asylum,Mutant,Marvel
Genetech Potential,Pretty Persuasions,Human,Marvel
Wind From the East,Rage,Human,Marvel
The Gentleman's Name is Juggernaut,Night Thrasher,Human,Marvel
,Firestar,Mutant,Marvel
"Money Don't Buy, Part 2",Flashburn,Human,Marvel
Heavy Turbulence,Turbo,Human,Marvel
,Speedball,Human,Marvel
Nova,Nova,Human,Marvel
If This Be Terrax,Terrax,God/Eternal,Marvel
"Forces Of Darkness, Forces Of Light, Act 1 - Crawling To The Shadows",Darkling,Human,Marvel
Dawn Of The Darkhawk,Darkhawk,Human,Marvel
X-Men,Angel,Mutant,Marvel
Who Am I?,Namorita,Mutant,Marvel
The Fantastic Four!,Thing,Radiation,Marvel
Among Us Hide The Inhumans!,Crystal,Other,Marvel
The Gentleman's Name is Juggernaut,Chord,Human,Marvel
World War One: This Land Must Change,Sprocket,Human,Marvel
The Man She Dared Not Love! - CH 1: A Pact With The Devil!,Sersi,God/Eternal,Marvel
Mirror Moves,Silhouette,Mutant,Marvel
The Fantastic Four!,Human Torch,Radiation,Marvel
"Forces Of Darkness, Forces Of Light (Part 4)",Weapon Y,Human,Marvel
And so... The Sphinx!,Sphinx,Mutant,Marvel
The Horns of the Rhino!,Rhino,Human,Marvel
Crushed by... The Constrictor!,Constrictor,Cyborg,Marvel
Let The Game Begin,Speed Demon,Human,Marvel
Shake Hands With Stiletto,Stiletto,Human,Marvel
The Mad Thinker and His Awesome Android!,Mad Thinker,Human,Marvel
Crescendo!,Primus,Human,Marvel
Beware The Hidden Land!,Skybreaker,Other,Marvel
The Heart of The Hunter,Terraformer,Other,Marvel
Wrath Of The Water Wizard!,Aqueduct,Human,Marvel
Paperino e la rivolta dei pedoni,Quibble De Writ,Animal,Disney
The Man Who Stole Tomorrow,Star Thief,Human,Marvel
Away Game!,Catseye,Mutant,Marvel
Following The Line Along The Middle,Beef,Mutant,Marvel
Away Game!,Tarot,Mutant,Marvel
Following The Line Along The Middle,Bevatron,Mutant,Marvel
Away Game!,Roulette,Mutant,Marvel
Away Game!,Jetstream,Mutant,Marvel
Sore Winners,Bloodstrike,Human,Marvel
Sympathy For The Devil,Smiling Tiger,Human,Marvel
The Heart of The Hunter,Silk Fever,Human,Marvel
Ground War,Left Hand,Human,Marvel
The Gentleman's Name is Juggernaut,Tai,Human,Marvel
The Coming of Galactus!,Galactus,God/Eternal,Marvel
Zounds O' silence/Present Tense/The Big X-Mas Blackout/The Spirit Of The Season/Revisionist History/ Yule Memory/Holiday On Ice/The Rapt Lamp,Laura Dunham,Human,Marvel
The Fantastic Four!,Mr. Fantastic,Radiation,Marvel
The Breeze Of An Underwater Wind,Sea Urchin,Human,Marvel
The Lost World / Eyes of Death,Uranian,God/Eternal,Marvel
Errant Knights,Harness,Mutant,Marvel
Errant Knights,Piecemeal,Mutant,Marvel
Days of Future Present Part Three,Shatterstar,Alien,Marvel
Duel,Cable,Mutant,Marvel
Away Game!,Warpath,Mutant,Marvel
