first_appeared_in_issue,name,origin,publisher
,Panthous,Human,In the Public Domain
,Antimachus,Human,Non-Fictional
No Bride Was I; Song of Love; Last Chance For Love; Love Problems; My Other Heart,Antenor,Human,In the Public Domain
Brains and Bronze,Clytemnestra,Human,In the Public Domain
Survival Run,Tygra,Alien,Star Comics (US)
,Bengali,Alien,DC Comics
Survival Run,Cheetara,Alien,DC Comics
Survival Run,Jaga,Alien,DC Comics
Survival Run,Lion-O,Alien,DC Comics
,Lynx-O,Alien,DC Comics
Survival Run,Panthro,Alien,DC Comics
,Pumyra,Alien,DC Comics
Survival Run,Wilykat,Alien,DC Comics
Survival Run,Wilykit,Alien,DC Comics
,Grune,Alien,DC Comics
Survival Run,Mumm-Ra,God/Eternal,Wildstorm
Survival Run,Monkian,Mutant,DC Comics
Survival Run,Slithe,Animal,DC Comics
,Vultureman,Mutant,DC Comics
Survival Run,Snarf,Alien,DC Comics
,Mandora,Alien,DC Comics
,Amok,Alien,Wildstorm
,Chilla,Alien,Wildstorm
,Luna,Alien,Wildstorm
,Red-Eye,Alien,Wildstorm
,Tug-Mug,Cyborg,Wildstorm
,Hachiman,Human,Wildstorm
Reclaiming Thundera,Shadowmaster,Other,Wildstorm
Survival Run,Jackalman,Mutant,DC Comics
Sleep of the Just,Dream of the Endless (Morpheus),God/Eternal,DC Comics
The Tarantula Strikes,Humphries,Human,Vertigo
The Jade Buddha / The Island of Wanatoba / The Door of Death / Saving Senator Barkley / The Insdious Dr. Fu Manchu / Give and Take / The Song of Death / Block Buster / Boat Race of Doom / The Magican,Crimson Avenger (Travis),Human,DC Comics
Lady in Evening Clothes,Larry Belmont,Human,Vertigo
The Tarantula: Act Two,Lt. Anthony Burke,Human,Vertigo
Captain Trips Part Two,Nick Andros,Human,Marvel
Veronica; Fatal Distraction One Mass Murderer to Go; Deadman Part 2; Protective Shield?; Once More Unto the Breach; What's a Nice Girl Like You...?,Clara,Human,DC Comics
The goBlin Act 4 of 4,Etta Humphries,Human,Vertigo
Captain Trips Part Three,Lloyd Henreid,Human,Marvel
,Greven,Human,Egmont
,Handlar Nilsson,Human,Egmont
,Fang,Other,DC Comics
,Grossout,Radiation,DC Comics
,Slither,Other,DC Comics
Chasing Clay,Cameron Chase,Human,DC Comics
,Landsfiskalen,Human,Egmont
,Doktorn,Human,Egmont
,Cesar,Animal,Egmont
"Fast Friends?, Part 1",Allison Chandler,Human,DC Comics
,SvÃ¤ngrot,Human,Egmont
S.O.S. Green Lantern / Secret of the Flaming Sphere / Menace of the Runaway Missile!,Hal Jordan,Human,DC Comics
"""Guy Talk""",Effigy,Human,DC Comics
Original Sin,Sin-Eater,Human,Marvel
Part 2: War and Pieces,Wysper,Human,Marvel
Part 2: War and Pieces,Firearm,Human,Marvel
Part 2: War and Pieces,Bomblast,Human,Marvel
Part 2: War and Pieces,Ramshot,Human,Marvel
Resurrection,Syphonn,Alien,Marvel
King Arthur,Rodunn,Other,DC Comics
,Adele Gyllenskalp,Human,Egmont
,Pamila,God/Eternal,Eros Comix
,Zato-Ino,Animal,Fantagraphics
,Queen Silvia,Human,Non-Fictional
,Lionheart,Animal,Fantagraphics
,Jenny,Human,Egmont
The Edge of Forever; Fatal Distraction Chapter Eight: To Help a Child; Starman; Seeds of Doubt; Dead Man on Campus; The Big Blowoff,Sadie Falk,Human,DC Comics
Eye of the Beholder!,Charity,Human,DC Comics
The Menace of the Invisible Raiders,Mist,Human,DC Comics
Batman y la Cobra: El Rey del NarcotrÃ¡fico,Doctor Mid-Nite,Human,DC Comics
"The Battle for BlÃ¼dhaven, Part 2",Phantom Lady,Human,DC Comics
"Sins of the Father: Part One - Falling Star, Rising Son",Kyle,Human,DC Comics
Dead Men Tell No Tales; The Treasure Tower,Black Pirate,Human,DC Comics
"Sand and Stars, an Epilogue; Hell and Back, a Prologue",Hamilton Drew,Human,DC Comics
1990 - A Hero Once... Despite Himself,Aaron Bodine,Human,DC Comics
Where No One Has Gone Before,Dr. Beverly Crusher,Human,IDW Publishing
"Grand Guignol, Deuxieme Partie: Friends and Foes",Culp,Human,DC Comics
...By Death's Eerie Light!; The Origin of Dr. Phosphorus,Doctor Phosphorus,Radiation,DC Comics
1990 - A Hero Once... Despite Himself,Lupe Bodine,Human,DC Comics
"Infernal Devices, Part One",Doctor Pip,Human,DC Comics
Legends of the Dead Earth,Prairie Witch,Human,DC Comics
The Bund Saboteurs,Captain X,Human,DC Comics
And Empires In Their Purpose,Ragdoll,Human,DC Comics
A (K)night at the Circus,Bliss,Other,DC Comics
"Sand and Stars, an Epilogue; Hell and Back, a Prologue",Merritt,Other,DC Comics
Spawn,Fastbak,God/Eternal,DC Comics
Starman,Turran Kha,Alien,DC Comics
,Space Cabbie,Human,DC Comics
The Great Plutonium Plot; The Robot Planet,Space Ranger,Alien,DC Comics
,Makoto,Human,Capcom
Secret of the Eternal City; The Planet and the Pendulum,Alanna Strange,Alien,DC Comics
The Man of Two Worlds: Book Three (of 3),Aleea Strange,Human,DC Comics
Rampage!,Rampage,Human,DC Comics
Claws,Shatterfist,Human,DC Comics
,Bulldozer,Human,DC Comics
A Tale of Three Citadels!,Deathbolt,Human,DC Comics
,Detective Chimp,Animal,DC Comics
Angel and the Ape,Sam Simeon,Animal,DC Comics
"20,000 Apes Under the Sea",Admiral Trafalgo,Animal,DC Comics
"The Trail of the Terrible Titan, A Medal For 'Go-Buggy 3'!",Monsieur Mallah,Animal,DC Comics
Drones of the Queen Bee!,Queen Bee,Alien,DC Comics
"Rock of Ages, Part 6: Stone of Destiny",Mageddon,God/Eternal,DC Comics
,Vibe,Human,DC Comics
A Town Called Vanity,Aztek (Falconer),Human,DC Comics
Woman of Tomorrow,Tomorrow Woman,Robot,DC Comics
"The Continent Killer, Part 2",Tendril,Human,Big City Comics
Blame,The Advance Man,Alien,DC Comics
Heaven's Ladder,The Quantum Mechanics,Human,DC Comics
Queen of Fables One of Three: Into The Woods,Queen Of Fables,Human,DC Comics
The Fantastic Fingers of Felix Faust!,Epoch,Human,DC Comics
"Charley Fish: ""Golf""",Doctor Occult,Human,DC Comics
Blood & Ashes (Alpha),Sebastian Faust,Human,DC Comics
,Cai Yue Woi,Human,Vertigo
Mar-68,Maxmagnus,Human,Max Bunker Press
Life Itself,Hermes Tris Megestus,God/Eternal,DC Comics
,Nicky The Fork,Human,DC Comics
A Waltz of Screams,Marly,Human,Vertigo
,Ash,Human,Dynamite Entertainment
The Master Plan,Brik,Alien,DC Comics
Death by Fire and Ice! / Earth's First Green Lantern,Salaak,Alien,DC Comics
,Tomar Dar,Alien,Dark Horse Comics
Deep Down Below the Surface,Oblivion,Other,DC Comics
E is for Extinction Part One,Cassandra Nova,Infection,Marvel
